year	amnh_amcc_tissue	sample_code	used_for_species_delimitation	host_family	host_genus	host_species	host_genus_species	host_weight	host_sex	site	site_lat	site_long	leuco_lin_1	leuco_lin_2	tissue_or_blood	leuco_morphotype
2016	243896	SCG237		Turdidae	Catharus	ustulatus	Catharus_ustulatus	25.4	M	Steese2	65.163393	-147.321237	CATUST09	CATUST24	blood	
2016	243898	SCG238		Parulidae	Setophaga	coronata	Setophaga_coronata	10.8	M	Steese2	65.163393	-147.321237			blood	
2016	243901	SCG239		Tyrannidae	Empidonax	hammondii	Empidonax_hammondii	10.1	M	Steese2	65.163393	-147.321237	ACAFLA03		blood	
2016	243904	SCG240		Emberizidae	Junco	hyemalis	Junco_hyemalis	18.4	F	Steese2	65.163393	-147.321237	ZOLEU02		blood	
2016	243905	SCG241		Parulidae	Setophaga	coronata	Setophaga_coronata	10.9	M	Steese2	65.163393	-147.321237	CATUST14	EMPALN01	blood	
2016	243908	SCG242		Parulidae	Setophaga	coronata	Setophaga_coronata	11.3	M	Steese2	65.163393	-147.321237			blood	
2016	243910	SCG243		Parulidae	Setophaga	coronata	Setophaga_coronata	11.9	M	Steese2	65.163393	-147.321237	CB1		blood	
2016	243914	SCG244		Turdidae	Turdus	migratorius	Turdus_migratorius	72.9	F	Steese2	65.163393	-147.321237			blood	
2016	243917	SCG245		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	23.8	U	Denali1	63.32385	-148.23181	CB1		blood	
2016	243920	SCG246	yes	Fringillidae	Loxia	leucoptera	Loxia_leucoptera	26.6	M	Denali1	63.32385	-148.23181	TRPIP2		blood	no_smear
2016	243921	SCG247		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	23.7	M	Denali1	63.32385	-148.23181	CB1		blood	
2016	243923	SCG248		Fringillidae	Acanthis	flammea	Acanthis_flammea	11.7	U	Denali1	63.32385	-148.23181	CB1		blood	
2016	243925	SCG250		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	22	F	Denali1	63.32385	-148.23181			blood	
2016	243927	SCG251		Parulidae	Setophaga	striata	Setophaga_striata	10.8	M	Denali1	63.32385	-148.23181	CB1	CNEORN01	blood	
2016	243928	SCG252		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	23.5	M	Denali1	63.32385	-148.23181	CB1	ZOLEU02	blood	
2016	243929	SCG253		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.3	U	Denali1	63.32385	-148.23181	CB1	ZOLEU02	blood	
2016	243929	SCG253		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.3	U	Denali1	63.32385	-148.23181	ACAFLA03	ZOLEU02	blood	
2016	243929	SCG253		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.3	U	Denali1	63.32385	-148.23181	ACAFLA03	CB1	blood	
2016	243932	SCG254		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.5	M	Denali1	63.32385	-148.23181	CB1	ZOLEU02	blood	
2016	243934	SCG255		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	24.7	M	Denali1	63.32385	-148.23181			blood	
2016	243937	SCG256		Parulidae	Setophaga	coronata	Setophaga_coronata	11	M	Denali1	63.32385	-148.23181	CNEORN01	TUMIG12	blood	
2016	243939	SCG257		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	21.5	F	Denali1	63.32385	-148.23181	LOXLEU04	ROFI06	blood	
2016	243943	SCG258		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	22.8	M	Denali1	63.32385	-148.23181	CB1		blood	
2016	243944	SCG259		Emberizidae	Junco	hyemalis	Junco_hyemalis	16.8	M	Denali1	63.32385	-148.23181	CB1	ZOLEU02	blood	
2016	243948	SCG260		Paridae	Poecile	hudsonicus	Poecile_hudsonicus	11	U	Denali1	63.32385	-148.23181	CB1	ROFI06	blood	
2016	243950	SCG261		Parulidae	Setophaga	striata	Setophaga_striata	12.2	U	Denali1	63.32385	-148.23181	CB1		blood	
2016	243951	SCG262		Corvidae	Perisoreus	canadensis	Perisoreus_canadensis	76.8	M	Denali1	63.32385	-148.23181	PERCAN04	PERCAN05	blood	
2016	243754	SCG263		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	22.1	F	Denali1	63.32385	-148.23181	PERCAN01	ROFI06	blood	
2016	243756	SCG264		Emberizidae	Passerella	iliaca	Passerella_iliaca	36	M	Denali1	63.32385	-148.23181	CB1		blood	
2016	243760	SCG265		Turdidae	Catharus	minimus	Catharus_minimus	25.9	M	Denali1	63.32385	-148.23181	CATMIN02	CATMIN05	blood	
2016	243762	SCG266		Parulidae	Setophaga	coronata	Setophaga_coronata	12.5	M	Denali1	63.32385	-148.23181	CB1		blood	
2016	243765	SCG267	yes	Phylloscopidae	Phylloscopus	borealis	Phylloscopus_borealis	8.5	M	Denali2	63.03881	-147.00372	PHYBOR01		blood	majoris
2016	243767	SCG268	yes	Fringillidae	Acanthis	flammea	Acanthis_flammea	11.9	M	Denali2	63.03881	-147.00372	ACAFLA01		blood	majoris
2016	243769	SCG269	yes	Parulidae	Cardellina	pusilla	Cardellina_pusilla	7.3	U	Denali2	63.03881	-147.00372	CNEORN01		blood	fringillinarum
2016	243770	SCG270		Parulidae	Setophaga	striata	Setophaga_striata	10.9	F	Denali2	63.03881	-147.00372	CNEORN01		blood	
2016	243774	SCG271	yes	Parulidae	Setophaga	petechia	Setophaga_petechia	9.1	M	Denali2	63.03881	-147.00372	SETPET04		blood	fringillinarum
2016	243777	SCG272		Emberizidae	Spizella	arborea	Spizella_arborea	16.8	M	Denali2	63.03881	-147.00372	ZOLEU02		blood	
2016	243779	SCG273		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	19.1	F	Denali2	63.03881	-147.00372	ZOLEU02		blood	
2016	243780	SCG274		Fringillidae	Acanthis	flammea	Acanthis_flammea	12.2	M	Denali2	63.03881	-147.00372			blood	
2016	243784	SCG275		Turdidae	Catharus	minimus	Catharus_minimus	27.9	M	Denali2	63.03881	-147.00372	CATGUT02	CATMIN04	blood	
2016	243786	SCG276		Emberizidae	Spizella	arborea	Spizella_arborea	17.2	M	Denali2	63.03881	-147.00372	CNEORN01	ZOLEU02	blood	
2016	243789	SCG277	yes	Phylloscopidae	Phylloscopus	borealis	Phylloscopus_borealis	9.3	M	Denali2	63.03881	-147.00372	BT1		blood	majoris
2016	243792	SCG278		Parulidae	Cardellina	pusilla	Cardellina_pusilla	7.5	M	Denali3	63.07621	-146.22423	CB1	CNEORN01	blood	
2016	243793	SCG279		Fringillidae	Acanthis	flammea	Acanthis_flammea	12.4	M	Denali3	63.07621	-146.22423	CB1	TUMIG12	blood	
2016	243794	SCG280	yes	Phylloscopidae	Phylloscopus	borealis	Phylloscopus_borealis	8.8	M	Denali3	63.07621	-146.22423	BT1		blood	majoris
2016	243799	SCG282	yes	Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	21.2	F	Denali3	63.07621	-146.22423	CB1		blood	majoris
2016	243800	SCG283		Fringillidae	Acanthis	flammea	Acanthis_flammea	11.3	M	Denali3	63.07621	-146.22423	ROFI06	TRPIP2	blood	
2016	243803	SCG284		Emberizidae	Passerculus	sandwichensis	Passerculus_sandwichensis	17.9	M	Denali3	63.07621	-146.22423	ACAFLA03	TRPIP2	blood	
2016	243806	SCG285		Parulidae	Cardellina	pusilla	Cardellina_pusilla	7.9	M	Denali3	63.07621	-146.22423			blood	
2016	243807	SCG286		Parulidae	Cardellina	pusilla	Cardellina_pusilla	7.7	M	Denali3	63.07621	-146.22423			blood	
2016	243808	SCG287		Motacillidae	Anthus	rubescens	Anthus_rubescens	19.7	F	Denali3	63.07621	-146.22423			blood	
2016	243811	SCG288		Emberizidae	Spizella	arborea	Spizella_arborea	17.6	F	Denali3	63.07621	-146.22423	CB1	ZOLEU02	blood	
2016	243812	SCG289		Fringillidae	Acanthis	flammea	Acanthis_flammea	12.1	M	Denali3	63.07621	-146.22423			blood	
2016	243816	SCG290		Emberizidae	Passerculus	sandwichensis	Passerculus_sandwichensis	18	M	Denali3	63.07621	-146.22423			blood	
2017	252371	GFB3777	yes	Emberizidae	Junco	hyemalis	Junco_hyemalis	18.00	F	Elliot1	65.28899	-149.29083	ZOLEU02		tissue	no_smear
2017	252374	GFB3778		Parulidae	Setophaga	coronata	Setophaga_coronata	11.00	M	Elliot1	65.28899	-149.29083	cannot_parse	cannot_parse	tissue	
